Catalyst Products Export 
Report Generated at: Tue Oct 14 2025 23:45:49 GMT+0800 (China Standard Time)
ASIN,Product Name,Brand,Category,Revenue (Monthly),Units Sold (Monthly),Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight,Variant Differences
"B08P54XVSD","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Fremont Cafe-Medium Indigo  36W x 32L","Levi's","Clothing, Shoes & Jewelry","$1,796,352.60","36,924","$48.65","$14.50","$34.15","49","8","6","1","11/26/2020","Amazon.com","4.2","2.01 x 13.11 x 14.02 in","Large standard","1.609 lb","N.A."
"B0B1KBVSQ1","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Pelican EEL  38W x 34L","Levi's","Clothing, Shoes & Jewelry","$1,841,964.34","46,526","$39.59","$13.93","$25.66","49","5","4","1","05/17/2022","Amazon.com","5.0","1.575 x 13.661 x 16.22 in","Large standard","1.653 lb","N.A."
"B0B1K819FY","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Pelican EEL  42W x 30L","Levi's","Clothing, Shoes & Jewelry","$1,841,964.34","46,526","$39.59","$17.68","$21.91","49","2","4","1","05/17/2022","Amazon.com","4.0","1.929 x 14.843 x 16.142 in","Large bulky","1.587 lb","N.A."
"B095X9BSD3","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  (New) Ocean Blues  44W x 30L","Levi's","Clothing, Shoes & Jewelry","$1,661,790.90","36,806","$45.15","$13.97","$31.18","49","1","6","1","05/26/2021","Amazon.com","5.0","2.09 x 12.56 x 13.94 in","Large standard","1.609 lb","N.A."
"B00JRHINN8","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Steely Blue-Medium Wash-Stretch  58W x 32L","Levi's","Clothing, Shoes & Jewelry","$1,716,031.45","35,273","$48.65","$19.42","$29.23","49","3","6","1","07/08/2014","Amazon.com","4.7","2.677 x 14.882 x 17.126 in","Large bulky","2.068 lb","Color Name, Size Name, Special Size Type"
"B09S6VCBVQ","Gildan mens Heavy Cotton T-shirt  Style G5000  Multipack T Shirt  Heather Navy (3-pack)  XX-Large US","Gildan","Clothing, Shoes & Jewelry","$479,626.20","32,964","$14.55","$10.33","$4.22","51","16","7","20","02/10/2022","Amazon.com","4.2","3.23 x 10.55 x 14.8 in","Large standard","1.499 lb","Color, Size"
"B0D3RCZZH8","Levi's Men's 505 Regular Fit Jeans (Also Available in Big & Tall)  Around The Corner","Levi's","Clothing, Shoes & Jewelry","$1,887,048.12","47,188","$39.99","$13.61","$26.38","51","1","4","2","05/09/2024","Amazon.com","1.0","1.969 x 13.583 x 14.803 in","Large standard","1.543 lb","Color Name, Size Name, Special Size Type"
"B095XD4Q29","Levi's Men's 505 Regular Fit Jeans (Also Available in Big & Tall)  Ocean Blues  42W x 30L","Levi's","Clothing, Shoes & Jewelry","$1,608,827.70","38,581","$41.70","$14.88","$26.82","51","15","5","1","05/26/2021","Amazon.com","3.8","3.39 x 13.39 x 15.67 in","Large standard","1.649 lb","N.A."
"B095XBGPQQ","Levi's Men's 505 Regular Fit Jeans (Also Available in Big & Tall)  (New) Ocean Blues  31W x 30L","Levi's","Clothing, Shoes & Jewelry","$1,617,376.20","38,786","$41.70","$13.45","$28.25","51","11","5","1","05/26/2021","Amazon.com","3.4","2.09 x 11.46 x 15.16 in","Large standard","1.281 lb","N.A."
"B0BTS92WRB","Gloria Vanderbilt Women's Amanda Classic High Rise Tapered Jean Standard  Hazelnut  8 Long","Gloria Vanderbilt","Clothing, Shoes & Jewelry","$784,105.68","35,036","$22.38","$10.22","$12.16","52","8","5","3","02/03/2023","Amazon.com","3.7","1.811 x 10.118 x 14.291 in","Large standard","0.992 lb","Color, Size"
"B095XBGGR3","Levi's Men's 505 Regular Fit Jeans (Also Available in Big & Tall)  Ocean Blues  36W x 30L","Levi's","Clothing, Shoes & Jewelry","$1,629,927.90","39,087","$41.70","$14.40","$27.30","57","35","5","1","05/26/2021","Amazon.com","4.4","2.323 x 13.74 x 15.906 in","Large standard","1.168 lb","N.A."
"B0151Z38T8","Levi's Men's 505 Regular Fit Jeans (Also Available in Big & Tall)  Kalsomine  38W x 34L","Levi's","Clothing, Shoes & Jewelry","$1,822,209.60","39,120","$46.58","$15.54","$31.04","58","21","4","1","10/07/2015","Amazon.com","3.7","3.15 x 13.58 x 15.79 in","Large standard","1.72 lb","N.A."
"B08BF54FTD","Levi's Men's 505 Regular Fit Jeans (Also Available in Big & Tall)  Fremont Drop Shot-Medium Indigo  30W x 30L","Levi's","Clothing, Shoes & Jewelry","$1,553,931.42","38,858","$39.99","$14.07","$25.92","58","46","7","2","06/17/2020","Zappos","4.1","2.83 x 12.76 x 12.91 in","Large standard","1.369 lb","N.A."
"B0D3FKT571","Brooks Men’s Adrenaline GTS 24 Weatherized Supportive Running Shoe - Black/Ebony/New Yellow - 11.5 Medium","Brooks","Clothing, Shoes & Jewelry","$3,186,131.10","28,978","$109.95","$24.72","$85.23","67","30","7","13","05/06/2024","Charm City Run","4.2","4.961 x 7.874 x 13.425 in","Large standard","1.764 lb","Color, Size"
"B0B1KP9C7P","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  (New) Pelican EEL  40W x 34L","Levi's","Clothing, Shoes & Jewelry","$1,482,012.06","37,434","$39.59","$14.09","$25.50","71","4","6","1","05/17/2022","Amazon.com","3.7","2.244 x 13.898 x 15.63 in","Large standard","1.691 lb","N.A."
"B095X8G7ZT","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Ocean Blues-Medium Indigo  30W x 32L","Levi's","Clothing, Shoes & Jewelry","$1,685,675.25","37,335","$45.15","$13.63","$31.52","71","3","6","1","05/26/2021","Amazon.com","3.3","1.93 x 11.18 x 12.71 in","Large standard","1.389 lb","N.A."
"B0B1KMRVNS","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Pelican EEL  36W x 32L","Levi's","Clothing, Shoes & Jewelry","$1,482,249.60","37,440","$39.59","$13.93","$25.66","71","24","4","1","05/17/2022","Amazon.com","3.9","1.654 x 13.268 x 16.22 in","Large standard","1.51 lb","N.A."
"B0B1KHDYK7","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Sea Pig  31W x 32L","Levi's","Clothing, Shoes & Jewelry","$1,871,625.60","37,440","$49.99","$14.70","$35.29","71","1","4","1","05/17/2022","Amazon.com","5.0","1.535 x 12.047 x 15.118 in","Large standard","1.36 lb","N.A."
"B09N6WJ1TB","Levi's Men's 559 Relaxed Straight Jeans (Also Available  Medium Gray Worn in  44W x 28L Big Tall","Levi's","Clothing, Shoes & Jewelry","$1,856,108.64","37,482","$49.52","$19.93","$29.59","71","1","4","1","12/07/2021","Amazon.com","5.0","3.15 x 15.75 x 16.14 in","Large bulky","1.83 lb","N.A."
"B0B1KBV89S","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Pelican EEL  40W x 32L","Levi's","Clothing, Shoes & Jewelry","$1,482,289.19","37,441","$39.59","$13.14","$26.45","71","6","4","1","05/17/2022","Amazon.com","4.4","2.17 x 12.32 x 14.09 in","Large standard","1.68 lb","N.A."
"B0B1K9YZ4P","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Sea Pig  44W x 30L","Levi's","Clothing, Shoes & Jewelry","$3,230,353.80","64,620","$49.99","$15.57","$34.42","71","3","4","1","05/17/2022","Amazon.com","5.0","2.87 x 12.4 x 13.58 in","Large standard","1.7 lb","N.A."
"B09N6WR1ZV","Levi's Men's 559 Relaxed Straight Jeans (Also Available  Medium Gray Worn in  48W x 32L Big Tall","Levi's","Clothing, Shoes & Jewelry","$2,602,149.50","37,441","$69.50","$22.16","$47.34","71","1","4","2","12/07/2021","Amazon.com","5.0","2.205 x 15.787 x 15.945 in","Large bulky","1.98 lb","N.A."
"B077GCKBFK","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Timberwolf Twill  29W x 32L","Levi's","Clothing, Shoes & Jewelry","$2,496,796.12","37,366","$66.82","$17.06","$49.76","71","17","4","1","01/07/2018","Amazon.com","3.9","1.38 x 11.85 x 13.98 in","Large standard","1.151 lb","N.A."
"B09N6MVNJT","Levi's Men's 559 Relaxed Straight Jeans (Also Available  Medium Gray Worn in  60W x 32L Big Tall","Levi's","Clothing, Shoes & Jewelry","$2,065,190.40","37,440","$55.16","$16.42","$38.74","71","1","4","1","12/07/2021","Amazon.com","1.0","3.307 x 8.898 x 16.654 in","Large standard","2.31 lb","N.A."
"B00UN7ZQPO","Vanity Fair womens Full Figure Beauty Back Smoothing Bra  Underwire - Ivory  44D US","Vanity Fair","Clothing, Shoes & Jewelry","$778,780.44","38,978","$19.98","$9.51","$10.47","75","42","5","5","03/25/2015","Amazon","4.0","12.8 x 7 x 2.5 in","Large standard","0.25 lb","Color Name, Fit Type, Size Name"
"B095XBS36W","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Ocean Blues-Medium Indigo  42W x 30L","Levi's","Clothing, Shoes & Jewelry","$1,576,051.05","34,907","$45.15","$13.97","$31.18","78","1","6","1","05/26/2021","Amazon.com","5.0","2.047 x 12.992 x 13.937 in","Large standard","1.742 lb","N.A."
"B095XB5Z6B","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Ocean Blues-Medium Indigo  31W x 30L","Levi's","Clothing, Shoes & Jewelry","$1,719,402.30","38,082","$45.15","$13.81","$31.34","78","5","6","1","05/26/2021","Amazon.com","5.0","1.772 x 11.929 x 14.488 in","Large standard","1.391 lb","N.A."
"B0B1JTZY2S","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Sea Pig  33W x 34L","Levi's","Clothing, Shoes & Jewelry","$3,492,952.10","71,665","$48.74","$15.38","$33.36","78","1","4","2","05/17/2022","Amazon.com","5.0","2.28 x 12.83 x 16.18 in","Large standard","1.479 lb","N.A."
"B0B1KGXQLY","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  (New) Sea Pig  38W x 30L","Levi's","Clothing, Shoes & Jewelry","$1,805,888.75","36,125","$49.99","$15.49","$34.50","78","12","4","1","05/17/2022","Amazon.com","4.7","2.402 x 12.835 x 14.567 in","Large standard","1.537 lb","N.A."
"B0B1KCPHJR","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Sea Pig  34W x 32L","Levi's","Clothing, Shoes & Jewelry","$1,962,257.47","39,253","$49.99","$14.70","$35.29","78","12","4","1","05/17/2022","Amazon.com","5.0","1 x 12.75 x 14.3 in","Large standard","1.451 lb","N.A."
"B0BT4ZPZC4","Wrangler Authentics Men's Relaxed Fit Stretch Cargo Pant  Kangaroo  30W x 30L","Wrangler Authentics","Clothing, Shoes & Jewelry","$1,383,156.39","40,173","$34.43","$13.55","$20.88","87","40","5","1","09/02/2025","Amazon.com","4.4","3.07 x 13.19 x 15.43 in","Large standard","1.01 lb","Color, Size"
"B0F8PHMTG3","Disney Girls' Fantasy Gown Nightgown  Starry Stitch  2T","Disney","Clothing, Shoes & Jewelry","$415,871.33","13,867","$29.99","$10.48","$19.51","100","15","4","1","05/14/2025","Amazon.com","4.9","1.102 x 8.504 x 10.039 in","Large standard","0.287 lb","Color, Size"
"B00KBZPFCW","Hanes mens Essentials Short Sleeve T-shirt Value Pack (4-pack) athletic t shirts  Lime  Small US","Hanes","Clothing, Shoes & Jewelry","$440,641.32","26,803","$16.44","$3.46","$12.98","106","47","5","13","07/22/2014","Sunshine Right Box","4.1","3.74 x 13.189 x 13.303 in","Large standard","1.19 lb","Color, Number Of Items, Size"
"B0DK35GYHG","Vertvie Womens Seamless Bra No Underwire Comfort Push Up Bras Buttery Soft Wireless Bralette Full Coverage Sport Everyday Bra (Pink 3X-Large)","Vertvie","Clothing, Shoes & Jewelry","$1,052,601.90","45,885","$22.94","$8.33","$14.61","110","4","7","1","12/27/2024","Vertvie","4.2","2.32 x 3.11 x 7.8 in","Large standard","0.311 lb","Color, Size"
"B0DXVCL25H","Niidor 2025 New Magnetic Sticky Bra Strapless Adhesive Invisible Push up Silicone Bra with Magnetic Clasp for Women Backless Dress","Niidor","Clothing, Shoes & Jewelry","$1,313,324.46","52,554","$24.99","$8.89","$16.10","122","3","7","1","05/29/2025","Niidor DIRECT-US","3.6","2.6 x 5.28 x 7.2 in","Large standard","0.37 lb","Color Name, Cup Size"
"B07317NSP9","WallFlower Women's InstaStretch Luscious Curvy Bootcut Jeans  Chrystie  7 Long","WallFlower","Clothing, Shoes & Jewelry","$1,342,760.00","33,569","$40.00","$12.86","$27.14","124","23","5","2","10/05/2017","Amazon.com","4.2","1.97 x 10.35 x 13.78 in","Large standard","1.171 lb","N.A."
"B089DCFBRM","New Balance Men's 608 V5 Casual Comfort Cross Trainer  Orca/Gunmetal/Orca  9.5 W","New Balance","Clothing, Shoes & Jewelry","$3,105,704.58","36,542","$84.99","$21.30","$63.69","127","48","5","2","11/30/2023","Amazon","4.5","5.276 x 9.213 x 13.78 in","Large standard","2.28 lb","Color, Size"
