Catalyst Products Export 
Report Generated at: Tue Oct 14 2025 23:45:49 GMT+0800 (China Standard Time)
ASIN,Product Name,Brand,Category,Revenue (Monthly),Units Sold (Monthly),Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight,Variant Differences
"B0DPJHVWB9","UGG Women's Tasman II Slipper  Dark Indigo  10","UGG","Clothing, Shoes & Jewelry","$2,877,723.45","23,031","$124.95","$26.97","$97.98","241","32","3","8","12/03/2024","Zappos","5.0","4.84 x 8.58 x 13.15 in","Large standard","1.96 lb","Color, Size"
"B0018ON1I0","Levi's Men's 501 Jean  Rinse  31W x 36L","Levi's","Clothing, Shoes & Jewelry","$956,679.15","17,191","$55.65","$15.39","$40.26","252","28","4","1","07/17/2009","Amazon.com","4.2","2.32 x 11.77 x 12.32 in","Large standard","1.79 lb","Color Name, Size Name, Special Size Type"
"B0DK5YVKQ3","Columbia Womens Benton Springs Full Zip Fleece Jacket  Tobacco  Small","Columbia","Clothing, Shoes & Jewelry","$771,771.00","16,962","$45.50","$18.57","$26.93","259","1","5","7","06/25/2025","Amazon.com","5.0","1.13 x 13.25 x 19 in","Large bulky","1.199 lb","Color, Size"
"B0F5G9T165","PRETTYGARDEN Womens Oversized Cardigan Sweaters 2025 Fall Long Lantern Sleeve Knit Open Front Lightweight Sweater (Striped Black White Large)","PRETTYGARDEN","Clothing, Shoes & Jewelry","$992,895.54","23,646","$41.99","$13.34","$28.65","274","1","9","1","04/18/2025","PRETTYGARDEN","1.0","2.13 x 11.89 x 12.71 in","Large standard","1.261 lb","Color Name, Size Name"
"B0F3XZPM9R","Dr. Scholl's Shoes Women's Time Off Sneaker Dark Honey Brown 8.5 M","Dr. Scholl's Shoes","Clothing, Shoes & Jewelry","$2,211,349.74","34,026","$64.99","$17.82","$47.17","304","10","3","2","04/07/2025","Amazon","4.3","4.49 x 8.82 x 12.09 in","Large standard","2.315 lb","Color, Size"
"B0DP1MT189","Dr. Scholl's Womens Time Off Sneaker Powder Blue Fabric 8 M","Dr. Scholl's","Clothing, Shoes & Jewelry","$2,086,650.00","27,822","$75.00","$19.32","$55.68","305","2","5","3","11/25/2024","Amazon","5.0","4.29 x 8.94 x 12.05 in","Large standard","1.98 lb","N.A."
"B077TCHNHQ","Levi's Men's 511 Slim Fit Jeans (Regular and Big & Tall)  Frog Eye-Advanced Stretch (Waterless)  34W x 36L","Levi's","Clothing, Shoes & Jewelry","$1,371,784.05","28,197","$48.65","$14.50","$34.15","314","17","6","1","07/18/2018","Amazon.com","4.1","1.73 x 12.01 x 15.75 in","Large standard","1.59 lb","Color, Size"
"B09K3SSFNP","Wrangler Authentics Men's Big & Tall Classic Cargo Stretch Short  Jungle Elmwood Camo  44","Wrangler Authentics","Clothing, Shoes & Jewelry","$995,387.88","33,324","$29.87","$11.52","$18.35","319","33","5","1","09/02/2025","Amazon.com","4.7","1.26 x 11.85 x 13.35 in","Large standard","0.93 lb","N.A."
"B0D9KD3S9T","Evshine Women's Fuzzy Memory Foam Slippers Chenille Knit bedroom House Slippers Fluffy Plush Warm Slip-on Indoor Shoes  Buttoned Grey  36-37 (Size 5-6.5)","Evshine","Clothing, Shoes & Jewelry","$461,928.92","23,108","$19.99","$8.98","$11.01","333","16","7","1","08/27/2024","Evshine","4.6","3.74 x 4.17 x 10.91 in","Large standard","0.73 lb","Color Name, Size Name"
"B0DCHRPN1X","Crocs Unisex Classic Clog Mint Tint Men 5/Women 7 Medium","Crocs","Clothing, Shoes & Jewelry","$995,403.60","19,928","$49.95","$15.10","$34.85","335","5","3","1","08/07/2024","OnlineSellingFirm","5.0","3.898 x 8.858 x 11.457 in","Large standard","0.661 lb","Color, Size"
"B0B1KMK989","Levi's Men's 511 Slim Fit Jeans (Also Available in Big & Tall)  Terrible Claw  30W x 30L","Levi's","Clothing, Shoes & Jewelry","$1,109,320.56","21,932","$50.58","$14.79","$35.79","343","3","4","1","05/17/2022","Amazon.com","4.5","2.441 x 10.748 x 13.976 in","Large standard","1.382 lb","N.A."
"B0B1KG8FK7","Levi's Men's 511 Slim Fit Jeans (Also Available in Big & Tall)  Terrible Claw  42W x 30L","Levi's","Clothing, Shoes & Jewelry","$927,107.00","21,436","$43.25","$13.25","$30.00","343","2","4","1","05/17/2022","Amazon.com","5.0","2.992 x 7.913 x 10.591 in","Large standard","1.7 lb","N.A."
"B0B1KMKFYW","Levi's Men's 511 Slim Fit Stretch Jeans  (New) Stargazer  36W x 30L","Levi's","Clothing, Shoes & Jewelry","$1,032,293.50","20,650","$49.99","$15.57","$34.42","343","4","4","1","05/17/2022","Amazon.com","5.0","2.441 x 12.441 x 15.236 in","Large standard","1.592 lb","N.A."
"B09N6SM79Q","Levi's Men's 511 Slim Fit Jeans (Regular and Big & Tall)  Wilder Adapt-Medium Indigo Worn in  30Wx32L","Levi's","Clothing, Shoes & Jewelry","$987,052.55","19,745","$49.99","$15.11","$34.88","343","2","6","1","12/07/2021","Amazon.com","5.0","2.64 x 11.14 x 13.19 in","Large standard","1.34 lb","N.A."
"B083WL8TMD","Levi's Men's 511 Slim Fit Jeans (Also Available in Big & Tall)  Harvest Gold  42W x 32L","Levi's","Clothing, Shoes & Jewelry","$954,172.45","19,613","$48.65","$14.91","$33.74","343","4","4","1","01/15/2020","Amazon.com","4.7","1.535 x 13.071 x 15.709 in","Large standard","1.219 lb","N.A."
"B0B1KG4HR8","Levi's Men's 511 Slim Fit Stretch Jeans  (New) Its All Good  36W x 32L","Levi's","Clothing, Shoes & Jewelry","$993,762.00","19,800","$50.19","$15.14","$35.05","343","14","4","2","05/17/2022","Amazon","4.4","2.087 x 12.283 x 15.197 in","Large standard","1.444 lb","N.A."
"B0FPDNNNCB","Fall Outfits for women 2025 V Neck Long Sleeve Shirts Womens Tops Dressy Casual Cute Work Teacher Fall Clothes Business Casual Lightweight Sweaters Tunic Blouses 2025 Fashion Clothing Burgundy 2XL","WIHOLL","Clothing, Shoes & Jewelry","$158,369.35","10,565","$14.99","$6.77","$8.22","344","45","7","1","07/21/2025","WIHOLL FASHION","4.4","0.75 x 10.16 x 11.57 in","Small standard","0.659 lb","Color Name, Size Name"
"B0DSBZ7YX1","VOYJOY Women Workout Impact Shorts 2.5""/ 3.6""/ 4.5""/ 6"" Scrunch Butt Lifting Gym Seamless Booty Biker Shorts Black Cherry","VOYJOY","Clothing, Shoes & Jewelry","$698,095.65","27,935","$24.99","$7.98","$17.01","411","6","7","1","12/28/2024","VOYJOY","4.1","0.59 x 7.28 x 8.11 in","Small standard","0.291 lb","Color Name, Fit Type, Size Name"
"B01MQCVN3B","Playtex Women's 18 Hour Ultimate Shoulder Comfort Wireless Bra US4693","PLAYTEX","Clothing, Shoes & Jewelry","$429,079.49","23,851","$17.99","$8.24","$9.75","366","39","5","7","12/01/2016","Amazon","3.8","2.2 x 6.26 x 8.7 in","Large standard","0.26 lb","Color Name, Number Of Items, Size Name"
"B0D3QZ4HBD","Playtex Women's 18 Hour Comfort-Strap Wireless Bra  Full-Coverage Bra  Single or 2-Pack","PLAYTEX","Clothing, Shoes & Jewelry","$968,467.02","25,881","$37.42","$11.59","$25.83","366","1","3","2","05/09/2024","Amazon.com","5.0","2.283 x 8.11 x 8.268 in","Large standard","0.375 lb","N.A."
"B0F81C8RJX","Levi Strauss Signature Gold Women's Size Modern Bootcut Jeans Mid-Rise Stretch Denim (Also Available in Plus)  (New) Island Rinse","Signature by Levi Strauss & Co. Gold","Clothing, Shoes & Jewelry","$631,600.20","20,790","$30.38","$12.79","$17.59","372","1","7","1","09/24/2025","Amazon.com","5.0","2.874 x 12.913 x 14.528 in","Large standard","1.4 lb","Color, Size, Special Size Type"
"B0D3R6SB8S","Playtex Women's 18 Hour Comfort-Strap Wireless Bra  Full-Coverage Bra  Single or 2-Pack","PLAYTEX","Clothing, Shoes & Jewelry","$1,609,146.00","25,542","$63.00","$15.43","$47.57","374","6","5","2","05/09/2024","Amazon","3.6","2.756 x 7.165 x 7.598 in","Large standard","0.375 lb","N.A."
"B0D3R1KQQ8","Playtex Women's 18 Hour Comfort-Strap Wireless Bra  Full-Coverage Bra  Single or 2-Pack","PLAYTEX","Clothing, Shoes & Jewelry","$1,573,173.00","24,971","$63.00","$14.99","$48.01","374","5","5","2","05/09/2024","Amazon.com","4.5","2.598 x 6.457 x 7.874 in","Large standard","0.397 lb","N.A."
"B0861WX91Y","The Children's Place Boys' Uniform Fleece Jogger Pants 3-Pack  Multi Clr  XXL (16)","The Children's Place","Clothing, Shoes & Jewelry","$302,243.76","18,452","$16.38","$14.96","$1.42","377","26","5","1","03/17/2020","Amazon.com","4.6","3.5 x 11.5 x 20.5 in","Large bulky","2.401 lb","Color, Number Of Items, Size"
"B0BZDQ3D5J","Alimens & Gentle Mens Solid Oxford Shirt Long Sleeve Dress Shirt Work Casual Button Down Shirts with Pocket Blue","Alimens & Gentle","Clothing, Shoes & Jewelry","$620,357.41","25,859","$23.99","$9.14","$14.85","387","14","7","1","03/23/2023","Alimens & Gentle","4.5","2.05 x 6.02 x 8.82 in","Large standard","0.84 lb","Color Name, Size Name, Special Size Type"
